County,State,Total
Ballard County, Kentucky,7979
Barren County, Kentucky,44176
Bath County, Kentucky,12383
Bell County, Kentucky,26569
Boone County, Kentucky,131533
Bourbon County, Kentucky,20184
Boyd County, Kentucky,47240
Boyle County, Kentucky,30100
Bracken County, Kentucky,8239
Breathitt County, Kentucky,12726
Breckinridge County, Kentucky,20388
Bullitt County, Kentucky,81069
Butler County, Kentucky,12772
Caldwell County, Kentucky,12715
Calloway County, Kentucky,39135
Campbell County, Kentucky,93152
Carlisle County, Kentucky,4771
Carroll County, Kentucky,10737
Carter County, Kentucky,27004
Casey County, Kentucky,15888
Christian County, Kentucky,71671
Clark County, Kentucky,36249
Clay County, Kentucky,20105
Clinton County, Kentucky,10206
Crittenden County, Kentucky,8915
Cumberland County, Kentucky,6659
Daviess County, Kentucky,101104
Edmonson County, Kentucky,12274
Elliott County, Kentucky,7508
Estill County, Kentucky,14198
Fayette County, Kentucky,323780
Fleming County, Kentucky,14432
Floyd County, Kentucky,35845
Franklin County, Kentucky,50815
Fulton County, Kentucky,6120
Gallatin County, Kentucky,8832
Garrard County, Kentucky,17560
Grant County, Kentucky,25121
Graves County, Kentucky,37317
Grayson County, Kentucky,26321
Green County, Kentucky,11049
Greenup County, Kentucky,35268
Hancock County, Kentucky,8758
Hardin County, Kentucky,110356
Harlan County, Kentucky,26409
Harrison County, Kentucky,18778
Hart County, Kentucky,18906
Henderson County, Kentucky,45591
Henry County, Kentucky,16106
Hickman County, Kentucky,4421
Hopkins County, Kentucky,45068
Jackson County, Kentucky,13442
Jefferson County, Kentucky,770517
Jessamine County, Kentucky,53920
Johnson County, Kentucky,22386
Kenton County, Kentucky,166051
Knott County, Kentucky,15126
Knox County, Kentucky,31304
Larue County, Kentucky,14307
Laurel County, Kentucky,60669
Lawrence County, Kentucky,15571
Lee County, Kentucky,7033
Leslie County, Kentucky,10143
Letcher County, Kentucky,21899
Lewis County, Kentucky,13257
Lincoln County, Kentucky,24644
Livingston County, Kentucky,9242
Logan County, Kentucky,26989
Lyon County, Kentucky,8009
McCracken County, Kentucky,65346
McCreary County, Kentucky,17408
McLean County, Kentucky,9252
Madison County, Kentucky,92368
Magoffin County, Kentucky,12362
Marion County, Kentucky,19404
Marshall County, Kentucky,31191
Martin County, Kentucky,11323
Mason County, Kentucky,17150
Meade County, Kentucky,28715
Menifee County, Kentucky,6451
Mercer County, Kentucky,21774
Metcalfe County, Kentucky,10030
Monroe County, Kentucky,10718
Montgomery County, Kentucky,28203
Morgan County, Kentucky,13345
Muhlenberg County, Kentucky,30774
Nelson County, Kentucky,45851
Nicholas County, Kentucky,7166
Ohio County, Kentucky,24087
Oldham County, Kentucky,66470
Owen County, Kentucky,10880
Owsley County, Kentucky,4472
Pendleton County, Kentucky,14529
Perry County, Kentucky,26092
Pike County, Kentucky,58402
Powell County, Kentucky,12442
Pulaski County, Kentucky,64623
Robertson County, Kentucky,2135
Rockcastle County, Kentucky,16750
Rowan County, Kentucky,24583
Russell County, Kentucky,17821
Scott County, Kentucky,56031
Shelby County, Kentucky,48518
Simpson County, Kentucky,18529
Spencer County, Kentucky,18794
Taylor County, Kentucky,25549
Todd County, Kentucky,12311
Trigg County, Kentucky,14643
Trimble County, Kentucky,8515
Union County, Kentucky,14505
Warren County, Kentucky,131264
Washington County, Kentucky,12084
Wayne County, Kentucky,20468
Webster County, Kentucky,13111
Whitley County, Kentucky,36242
Wolfe County, Kentucky,7177
Woodford County, Kentucky,26533
Acadia Parish, Louisiana,62190
Allen Parish, Louisiana,25605
Ascension Parish, Louisiana,124672
Assumption Parish, Louisiana,22300
Avoyelles Parish, Louisiana,40462
Beauregard Parish, Louisiana,37253
Bienville Parish, Louisiana,13308
Bossier Parish, Louisiana,127185
Caddo Parish, Louisiana,242922
Calcasieu Parish, Louisiana,203112
Caldwell Parish, Louisiana,9960
Cameron Parish, Louisiana,6968
Catahoula Parish, Louisiana,9608
Claiborne Parish, Louisiana,15944
Concordia Parish, Louisiana,19572
De Soto Parish, Louisiana,27436
East Baton Rouge Parish, Louisiana,440956
East Carroll Parish, Louisiana,7037
East Feliciana Parish, Louisiana,19305
Evangeline Parish, Louisiana,33443
Franklin Parish, Louisiana,20156
Grant Parish, Louisiana,22482
Iberia Parish, Louisiana,70941
Iberville Parish, Louisiana,32721
Jackson Parish, Louisiana,15902
Jefferson Parish, Louisiana,434051
Jefferson Davis Parish, Louisiana,31582
Lafayette Parish, Louisiana,242782
Lafourche Parish, Louisiana,98115
LaSalle Parish, Louisiana,14917
Lincoln Parish, Louisiana,47196
Livingston Parish, Louisiana,139567
Madison Parish, Louisiana,11161
Morehouse Parish, Louisiana,25398
Natchitoches Parish, Louisiana,38659
Orleans Parish, Louisiana,391006
Ouachita Parish, Louisiana,154475
Plaquemines Parish, Louisiana,23410
Pointe Coupee Parish, Louisiana,21940
Rapides Parish, Louisiana,130562
Red River Parish, Louisiana,8477
Richland Parish, Louisiana,20192
Sabine Parish, Louisiana,24032
St Bernard Parish, Louisiana,46721
St Charles Parish, Louisiana,52879
St Helena Parish, Louisiana,10262
St James Parish, Louisiana,21037
St John the Baptist Parish, Louisiana,43184
St Landry Parish, Louisiana,82764
St Martin Parish, Louisiana,53621
St Mary Parish, Louisiana,49774
St Tammany Parish, Louisiana,258111
Tangipahoa Parish, Louisiana,133777
Tensas Parish, Louisiana,4462
Terrebonne Parish, Louisiana,111021
Union Parish, Louisiana,22330
Vermilion Parish, Louisiana,59830
Vernon Parish, Louisiana,48860
Washington Parish, Louisiana,46582
Webster Parish, Louisiana,38798
West Baton Rouge Parish, Louisiana,26427
West Carroll Parish, Louisiana,10982
West Feliciana Parish, Louisiana,15460
Winn Parish, Louisiana,14134
Androscoggin County, Maine,107679
Aroostook County, Maine,67111
Cumberland County, Maine,293557
Franklin County, Maine,29897
Hancock County, Maine,54811
Kennebec County, Maine,122083
Knox County, Maine,39771
Lincoln County, Maine,34342
Oxford County, Maine,57618
Penobscot County, Maine,151096
Piscataquis County, Maine,16800
Sagadahoc County, Maine,35634
Somerset County, Maine,50592
Waldo County, Maine,39694
Washington County, Maine,31490
York County, Maine,206229
Allegany County, Maryland,70975
Anne Arundel County, Maryland,576031
Baltimore County, Maryland,828431
Calvert County, Maryland,92003
Caroline County, Maryland,33304
Carroll County, Maryland,168429
Cecil County, Maryland,102826
Charles County, Maryland,161503
Dorchester County, Maryland,31998
Frederick County, Maryland,255648
Garrett County, Maryland,29163
Harford County, Maryland,253956
Howard County, Maryland,323196
Kent County, Maryland,19383
Montgomery County, Maryland,1052567
Prince George's County, Maryland,909308
Queen Anne's County, Maryland,50251
St Mary's County, Maryland,112664
Somerset County, Maryland,25675
Talbot County, Maryland,36968
Washington County, Maryland,150926
Wicomico County, Maryland,103195
Worcester County, Maryland,51823
Baltimore city, Maryland,602495
Barnstable County, Massachusetts,213413
Berkshire County, Massachusetts,126348
Bristol County, Massachusetts,564022
Dukes County, Massachusetts,17352
Essex County, Massachusetts,790638
Franklin County, Massachusetts,70963
Hampden County, Massachusetts,470406
Hampshire County, Massachusetts,161355
Middlesex County, Massachusetts,1614714
Nantucket County, Massachusetts,11327
Norfolk County, Massachusetts,705388
Plymouth County, Massachusetts,518132
Suffolk County, Massachusetts,807252
Worcester County, Massachusetts,830839
Alcona County, Michigan,10362
Alger County, Michigan,9097
Allegan County, Michigan,117327
Alpena County, Michigan,28360
Antrim County, Michigan,23365
Arenac County, Michigan,15041
Baraga County, Michigan,8320
Barry County, Michigan,61157
Bay County, Michigan,103923
Benzie County, Michigan,17753
Berrien County, Michigan,154141
Branch County, Michigan,43622
Calhoun County, Michigan,134487
Cass County, Michigan,51653
Charlevoix County, Michigan,26244
Cheboygan County, Michigan,25413
Chippewa County, Michigan,37517
Clare County, Michigan,30757
Clinton County, Michigan,79332
Crawford County, Michigan,13901
Delta County, Michigan,35857
Dickinson County, Michigan,25383
Eaton County, Michigan,109826
Emmet County, Michigan,33308
Genesee County, Michigan,406892
Gladwin County, Michigan,25337
Gogebic County, Michigan,15096
Grand Traverse County, Michigan,92573
Gratiot County, Michigan,40599
Hillsdale County, Michigan,45749
Houghton County, Michigan,36219
Huron County, Michigan,31166
Ingham County, Michigan,292735
Ionia County, Michigan,64210
Iosco County, Michigan,25081
Iron County, Michigan,11117
Isabella County, Michigan,70562
Jackson County, Michigan,158823
Kalamazoo County, Michigan,264870
Kalkaska County, Michigan,17824
Kent County, Michigan,653786
Keweenaw County, Michigan,2113
Lake County, Michigan,11881
Lapeer County, Michigan,88028
Leelanau County, Michigan,21764
Lenawee County, Michigan,98266
Livingston County, Michigan,191224
Luce County, Michigan,6283
Mackinac County, Michigan,10787
Macomb County, Michigan,874759
Manistee County, Michigan,24528
Marquette County, Michigan,66516
Mason County, Michigan,29100
Mecosta County, Michigan,43545
Menominee County, Michigan,22983
Midland County, Michigan,83209
Missaukee County, Michigan,15113
Monroe County, Michigan,150439
Montcalm County, Michigan,63968
Montmorency County, Michigan,9265
Muskegon County, Michigan,173588
Newaygo County, Michigan,48892
Oakland County, Michigan,1259201
Oceana County, Michigan,26625
Ogemaw County, Michigan,20952
Ontonagon County, Michigan,5795
Osceola County, Michigan,23341
Oscoda County, Michigan,8276
Otsego County, Michigan,24665
Ottawa County, Michigan,290494
Presque Isle County, Michigan,12738
Roscommon County, Michigan,23884
Saginaw County, Michigan,190800
St Clair County, Michigan,159337
St Joseph County, Michigan,61043
Sanilac County, Michigan,41182
Schoolcraft County, Michigan,8068
Shiawassee County, Michigan,68192
Tuscola County, Michigan,52516
Van Buren County, Michigan,75448
Washtenaw County, Michigan,370963
Wayne County, Michigan,1753893
Wexford County, Michigan,33466
Aitkin County, Minnesota,15902
Anoka County, Minnesota,353813
Becker County, Minnesota,34371
Beltrami County, Minnesota,46847
Benton County, Minnesota,40545
Big Stone County, Minnesota,4989
Blue Earth County, Minnesota,67427
Brown County, Minnesota,25111
Carlton County, Minnesota,35837
Carver County, Minnesota,103551
Cass County, Minnesota,29519
Chippewa County, Minnesota,11924
Chisago County, Minnesota,55922
Clay County, Minnesota,63955
Clearwater County, Minnesota,8810
Cook County, Minnesota,5393
Cottonwood County, Minnesota,11277
Crow Wing County, Minnesota,64889
Dakota County, Minnesota,425423
Dodge County, Minnesota,20822
Douglas County, Minnesota,37964
Faribault County, Minnesota,13758
Fillmore County, Minnesota,21058
Freeborn County, Minnesota,30444
Goodhue County, Minnesota,46403
Grant County, Minnesota,6021
Hennepin County, Minnesota,1259428
Houston County, Minnesota,18578
Hubbard County, Minnesota,21332
Isanti County, Minnesota,39966
Itasca County, Minnesota,45108
Jackson County, Minnesota,9911
Kanabec County, Minnesota,16207
Kandiyohi County, Minnesota,42855
Kittson County, Minnesota,4248
Koochiching County, Minnesota,12440
Lac qui Parle County, Minnesota,6658
Lake County, Minnesota,10658
Lake of the Woods County, Minnesota,3758
Le Sueur County, Minnesota,28494
Lincoln County, Minnesota,5673
Lyon County, Minnesota,25629
McLeod County, Minnesota,35873
Mahnomen County, Minnesota,5519
Marshall County, Minnesota,9390
Martin County, Minnesota,19785
Meeker County, Minnesota,23141
Mille Lacs County, Minnesota,26139
Morrison County, Minnesota,33169
Mower County, Minnesota,40011
Murray County, Minnesota,8276
Nicollet County, Minnesota,34220
Nobles County, Minnesota,21924
Norman County, Minnesota,6475
Olmsted County, Minnesota,156277
Otter Tail County, Minnesota,58812
Pennington County, Minnesota,14178
Pine County, Minnesota,29483
Pipestone County, Minnesota,9047
Polk County, Minnesota,31529
Pope County, Minnesota,11097
Ramsey County, Minnesota,550210
Red Lake County, Minnesota,3999
Redwood County, Minnesota,15249
Renville County, Minnesota,14612
Rice County, Minnesota,66523
Rock County, Minnesota,9414
Roseau County, Minnesota,15150
St Louis County, Minnesota,199754
Scott County, Minnesota,147381
Sherburne County, Minnesota,96036
Sibley County, Minnesota,15028
Stearns County, Minnesota,159256
Steele County, Minnesota,36803
Stevens County, Minnesota,9753
Swift County, Minnesota,9345
Todd County, Minnesota,24582
Traverse County, Minnesota,3308
Wabasha County, Minnesota,21645
Wadena County, Minnesota,13773
Waseca County, Minnesota,18691
Washington County, Minnesota,259201
Watonwan County, Minnesota,10980
Wilkin County, Minnesota,6254
Winona County, Minnesota,50825
Wright County, Minnesota,136349
Yellow Medicine County, Minnesota,9795
Adams County, Mississippi,31192
Alcorn County, Mississippi,36925
Amite County, Mississippi,12326
Attala County, Mississippi,18365
Benton County, Mississippi,8271
Bolivar County, Mississippi,31333
Calhoun County, Mississippi,14436
Carroll County, Mississippi,9911
Chickasaw County, Mississippi,17171
Choctaw County, Mississippi,8278
Claiborne County, Mississippi,9002
Clarke County, Mississippi,15604
Clay County, Mississippi,19386
Coahoma County, Mississippi,22628
Copiah County, Mississippi,28543
Covington County, Mississippi,18853
DeSoto County, Mississippi,182001
Forrest County, Mississippi,75036
Franklin County, Mississippi,7788
George County, Mississippi,24250
Greene County, Mississippi,13586
Grenada County, Mississippi,21055
Hancock County, Mississippi,47334
Harrison County, Mississippi,206650
Hinds County, Mississippi,237085
Holmes County, Mississippi,17622
Humphreys County, Mississippi,8257
Issaquena County, Mississippi,1308
Itawamba County, Mississippi,23517
Jackson County, Mississippi,143277
Jasper County, Mississippi,16428
Jefferson County, Mississippi,7106
Jefferson Davis County, Mississippi,11234
Jones County, Mississippi,68461
Kemper County, Mississippi,10027
Lafayette County, Mississippi,54793
Lamar County, Mississippi,62447
Lauderdale County, Mississippi,75317
Lawrence County, Mississippi,12455
Leake County, Mississippi,22763
Lee County, Mississippi,85202
Leflore County, Mississippi,28919
Lincoln County, Mississippi,34205
Lowndes County, Mississippi,58930
Madison County, Mississippi,105630
Marion County, Mississippi,24715
Marshall County, Mississippi,35451
Monroe County, Mississippi,35564
Montgomery County, Mississippi,10023
Neshoba County, Mississippi,29125
Newton County, Mississippi,21443
Noxubee County, Mississippi,10535
Oktibbeha County, Mississippi,49599
Panola County, Mississippi,34178
Pearl River County, Mississippi,55387
Perry County, Mississippi,11931
Pike County, Mississippi,39563
Pontotoc County, Mississippi,31833
Prentiss County, Mississippi,25315
Quitman County, Mississippi,7051
Rankin County, Mississippi,153902
Scott County, Mississippi,28287
Sharkey County, Mississippi,4377
Simpson County, Mississippi,26758
Smith County, Mississippi,16002
Stone County, Mississippi,18717
Sunflower County, Mississippi,25735
Tallahatchie County, Mississippi,13987
Tate County, Mississippi,28759
Tippah County, Mississippi,21995
Tishomingo County, Mississippi,19454
Tunica County, Mississippi,9944
Union County, Mississippi,28606
Walthall County, Mississippi,14465
Warren County, Mississippi,46176
Washington County, Mississippi,45063
Wayne County, Mississippi,20298
Webster County, Mississippi,9788
Wilkinson County, Mississippi,8792
Winston County, Mississippi,18165
Yalobusha County, Mississippi,12392
Yazoo County, Mississippi,28248
Adair County, Missouri,25339
Andrew County, Missouri,17607
Atchison County, Missouri,5171
Audrain County, Missouri,25473
Barry County, Missouri,35886
Barton County, Missouri,11798
Bates County, Missouri,16320
Benton County, Missouri,19278
Bollinger County, Missouri,12169
Boone County, Missouri,180005
Buchanan County, Missouri,88571
Butler County, Missouri,42639
Caldwell County, Missouri,9108
Callaway County, Missouri,44889
Camden County, Missouri,45815
Cape Girardeau County, Missouri,78753
Carroll County, Missouri,8743
Carter County, Missouri,6054
Cass County, Missouri,104954
Cedar County, Missouri,14165
Chariton County, Missouri,7451
Christian County, Missouri,86983
Clark County, Missouri,6842
Clay County, Missouri,246365
Clinton County, Missouri,20470
Cole County, Missouri,76796
Cooper County, Missouri,17603
Crawford County, Missouri,23957
Dade County, Missouri,7569
Dallas County, Missouri,16762
Daviess County, Missouri,8313
DeKalb County, Missouri,12630
Dent County, Missouri,15441
Douglas County, Missouri,13373
Dunklin County, Missouri,29423
Franklin County, Missouri,103670
Gasconade County, Missouri,14705
Gentry County, Missouri,6628
Greene County, Missouri,291923
Grundy County, Missouri,9914
Harrison County, Missouri,8414
Henry County, Missouri,21792
Hickory County, Missouri,9509
Holt County, Missouri,4404
Howard County, Missouri,10137
Howell County, Missouri,40076
Iron County, Missouri,10177
Jackson County, Missouri,700307
Jasper County, Missouri,120636
Jefferson County, Missouri,224347
Johnson County, Missouri,53652
Knox County, Missouri,3947
Laclede County, Missouri,35713
Lafayette County, Missouri,32598
Lawrence County, Missouri,38359
Lewis County, Missouri,9855
Lincoln County, Missouri,57686
Linn County, Missouri,12037
Livingston County, Missouri,15146
McDonald County, Missouri,23078
Macon County, Missouri,15153
Madison County, Missouri,12188
Maries County, Missouri,8769
Marion County, Missouri,28592
Mercer County, Missouri,3641
Miller County, Missouri,25336
Mississippi County, Missouri,13336
Moniteau County, Missouri,16121
Monroe County, Missouri,8664
Montgomery County, Missouri,11534
Morgan County, Missouri,20358
New Madrid County, Missouri,17296
Newton County, Missouri,58266
Nodaway County, Missouri,22304
Oregon County, Missouri,10541
Osage County, Missouri,13714
Ozark County, Missouri,9017
Pemiscot County, Missouri,16272
Perry County, Missouri,19150
Pettis County, Missouri,42542
Phelps County, Missouri,44732
Pike County, Missouri,18504
Platte County, Missouri,102985
Polk County, Missouri,32201
Pulaski County, Missouri,52014
Putnam County, Missouri,4757
Ralls County, Missouri,10212
Randolph County, Missouri,24763
Ray County, Missouri,22883
Reynolds County, Missouri,6254
Ripley County, Missouri,13401
St Charles County, Missouri,399182
St Clair County, Missouri,9395
Ste Genevieve County, Missouri,17888
St Francois County, Missouri,66692
St Louis County, Missouri,996945
Saline County, Missouri,22895
Schuyler County, Missouri,4599
Scotland County, Missouri,4966
Scott County, Missouri,38458
Shannon County, Missouri,8189
Shelby County, Missouri,6050
Stoddard County, Missouri,29206
Stone County, Missouri,31749
Sullivan County, Missouri,6221
Taney County, Missouri,55852
Texas County, Missouri,25571
Vernon County, Missouri,20528
Warren County, Missouri,34711
Washington County, Missouri,24943
Wayne County, Missouri,13122
Webster County, Missouri,39109
Worth County, Missouri,2040
Wright County, Missouri,18378
St Louis city, Missouri,302838
Beaverhead County, Montana,9404
Big Horn County, Montana,13338
Blaine County, Montana,6807
Broadwater County, Montana,6085
Carbon County, Montana,10714
Carter County, Montana,1238
Cascade County, Montana,81643
Chouteau County, Montana,5745
Custer County, Montana,11586
Daniels County, Montana,1747
Dawson County, Montana,8680
Deer Lodge County, Montana,9131
Fallon County, Montana,2920
Fergus County, Montana,11113
Flathead County, Montana,102106
Gallatin County, Montana,111876
Garfield County, Montana,1268
Glacier County, Montana,13747
Golden Valley County, Montana,826
Granite County, Montana,3378
Hill County, Montana,16347
Jefferson County, Montana,12097
Judith Basin County, Montana,1952
Lake County, Montana,30250
Lewis and Clark County, Montana,68700
Liberty County, Montana,2430
Lincoln County, Montana,19794
McCone County, Montana,1675
Madison County, Montana,8768
Meagher County, Montana,1866
Mineral County, Montana,4316
Missoula County, Montana,118791
Musselshell County, Montana,4651
Park County, Montana,16736
Petroleum County, Montana,513
Phillips County, Montana,4074
Pondera County, Montana,5972
Powder River County, Montana,1716
Powell County, Montana,6968
Prairie County, Montana,1087
Ravalli County, Montana,43172
Richland County, Montana,10913
Roosevelt County, Montana,11059
Rosebud County, Montana,9063
Sanders County, Montana,11844
Sheridan County, Montana,3424
Silver Bow County, Montana,34993
Stillwater County, Montana,9534
Sweet Grass County, Montana,3710
Teton County, Montana,6162
Toole County, Montana,4853
Treasure County, Montana,679
Valley County, Montana,7437
Wheatland County, Montana,2236
Wibaux County, Montana,1034
Yellowstone County, Montana,160137
Adams County, Nebraska,31511
Antelope County, Nebraska,6336
Arthur County, Nebraska,465
Banner County, Nebraska,730
Blaine County, Nebraska,476
Boone County, Nebraska,5239
Box Butte County, Nebraska,10772
Boyd County, Nebraska,1955
Brown County, Nebraska,2973
Buffalo County, Nebraska,49615
Burt County, Nebraska,6488
Butler County, Nebraska,8058
Cass County, Nebraska,26159
Cedar County, Nebraska,8446
Chase County, Nebraska,3977
Cherry County, Nebraska,5761
Cheyenne County, Nebraska,9310
Clay County, Nebraska,6214
Colfax County, Nebraska,10881
Cuming County, Nebraska,8940
Custer County, Nebraska,10840
Dakota County, Nebraska,20083
Dawes County, Nebraska,8716
Dawson County, Nebraska,23709
Deuel County, Nebraska,1825
Dixon County, Nebraska,5709
Dodge County, Nebraska,36791
Douglas County, Nebraska,566880
Dundy County, Nebraska,1770
Fillmore County, Nebraska,5527
Franklin County, Nebraska,3023
Frontier County, Nebraska,2608
Furnas County, Nebraska,4715
Gage County, Nebraska,21493
Garden County, Nebraska,1897
Garfield County, Nebraska,1987
Gosper County, Nebraska,1996
Grant County, Nebraska,660
Greeley County, Nebraska,2356
Hall County, Nebraska,61607
Hamilton County, Nebraska,9280
Harlan County, Nebraska,3401
Hayes County, Nebraska,916
Hitchcock County, Nebraska,2806
Holt County, Nebraska,10178
Hooker County, Nebraska,682
Howard County, Nebraska,6468
Jefferson County, Nebraska,7097
Johnson County, Nebraska,5134
Kearney County, Nebraska,6544
Keith County, Nebraska,8021
Keya Paha County, Nebraska,810
Kimball County, Nebraska,3618
Knox County, Nebraska,8419
Lancaster County, Nebraska,317272
Lincoln County, Nebraska,35185
Logan County, Nebraska,749
Loup County, Nebraska,618
McPherson County, Nebraska,492
Madison County, Nebraska,35392
Merrick County, Nebraska,7733
Morrill County, Nebraska,4686
Nance County, Nebraska,3532
Nemaha County, Nebraska,6958
Nuckolls County, Nebraska,4195
Otoe County, Nebraska,15985
Pawnee County, Nebraska,2632
Perkins County, Nebraska,2929
Phelps County, Nebraska,8996
Pierce County, Nebraska,7142
Platte County, Nebraska,33363
Polk County, Nebraska,5278
Red Willow County, Nebraska,10726
Richardson County, Nebraska,7937
Rock County, Nebraska,1360
Saline County, Nebraska,14350
Sarpy County, Nebraska,184459
Saunders County, Nebraska,21303
Scotts Bluff County, Nebraska,35989
Seward County, Nebraska,17318
Sheridan County, Nebraska,5190
Sherman County, Nebraska,3038
Sioux County, Nebraska,1187
Stanton County, Nebraska,5970
Thayer County, Nebraska,5039
Thomas County, Nebraska,720
Thurston County, Nebraska,7303
Valley County, Nebraska,4190
Washington County, Nebraska,20667
Wayne County, Nebraska,9403
Webster County, Nebraska,3533
Wheeler County, Nebraska,805
York County, Nebraska,13772
Churchill County, Nevada,24440
Clark County, Nevada,2231647
Douglas County, Nevada,48467
Elko County, Nevada,52460
Esmeralda County, Nevada,826
Eureka County, Nevada,2003
Humboldt County, Nevada,16786
Lander County, Nevada,5575
Lincoln County, Nevada,5201
Lyon County, Nevada,55808
Mineral County, Nevada,4514
Nye County, Nevada,45346
Pershing County, Nevada,6666
Storey County, Nevada,4029
Washoe County, Nevada,465735
White Pine County, Nevada,9475
Carson City, Nevada,55414
Belknap County, New Hampshire,61022
Carroll County, New Hampshire,48779
Cheshire County, New Hampshire,76493
Coos County, New Hampshire,31589
Grafton County, New Hampshire,89786
Hillsborough County, New Hampshire,415247
Merrimack County, New Hampshire,151132
Rockingham County, New Hampshire,309176
Strafford County, New Hampshire,130090
Sullivan County, New Hampshire,43144
Atlantic County, New Jersey,265429
Bergen County, New Jersey,936692
Burlington County, New Jersey,445384
Camden County, New Jersey,507078
Cape May County, New Jersey,92560
Cumberland County, New Jersey,150972
Essex County, New Jersey,799767
Gloucester County, New Jersey,291408
Hudson County, New Jersey,676061
Hunterdon County, New Jersey,124714
Mercer County, New Jersey,369811
Middlesex County, New Jersey,829685
Monmouth County, New Jersey,621354
Morris County, New Jersey,494228
Ocean County, New Jersey,601651
Passaic County, New Jersey,503310
Salem County, New Jersey,62607
Somerset County, New Jersey,331164
Sussex County, New Jersey,140799
Union County, New Jersey,558067
Warren County, New Jersey,105779
Bernalillo County, New Mexico,678701
Catron County, New Mexico,3578
Chaves County, New Mexico,64689
Cibola County, New Mexico,26746
Colfax County, New Mexico,12110
Curry County, New Mexico,49437
De Baca County, New Mexico,1781
Doña Ana County, New Mexico,217522
Eddy County, New Mexico,57900
Grant County, New Mexico,27346
Guadalupe County, New Mexico,4341
Harding County, New Mexico,655
Hidalgo County, New Mexico,4240
Lea County, New Mexico,69611
Lincoln County, New Mexico,19556
Los Alamos County, New Mexico,19101
Luna County, New Mexico,23963
McKinley County, New Mexico,72290
Mora County, New Mexico,4506
Otero County, New Mexico,66781
Quay County, New Mexico,8253
Rio Arriba County, New Mexico,39006
Roosevelt County, New Mexico,18743
Sandoval County, New Mexico,145179
San Juan County, New Mexico,125043
San Miguel County, New Mexico,27591
Santa Fe County, New Mexico,150056
Sierra County, New Mexico,10968
Socorro County, New Mexico,16735
Taos County, New Mexico,32835
Torrance County, New Mexico,15591
Union County, New Mexico,4118
Valencia County, New Mexico,76456
Albany County, New York,307117
Allegany County, New York,46430
Broome County, New York,191659
Cattaraugus County, New York,76840
Cayuga County, New York,77145
Chautauqua County, New York,127939
Chemung County, New York,84254
Chenango County, New York,47536
Clinton County, New York,80695
Columbia County, New York,59916
Cortland County, New York,47823
Delaware County, New York,44527
Dutchess County, New York,293718
Erie County, New York,919719
Essex County, New York,37300
Franklin County, New York,50293
Fulton County, New York,53591
Genesee County, New York,57511
Greene County, New York,47491
Hamilton County, New York,4434
Herkimer County, New York,61833
Jefferson County, New York,111755
Lewis County, New York,26447
Livingston County, New York,63227
Madison County, New York,70795
Monroe County, New York,742474
Montgomery County, New York,49455
Nassau County, New York,1358343
New York City, New York,8398748
Niagara County, New York,210433
Oneida County, New York,229577
Onondaga County, New York,461809
Ontario County, New York,109864
Orange County, New York,381951
Orleans County, New York,40612
Oswego County, New York,117898
Otsego County, New York,59749
Putnam County, New York,98892
Rensselaer County, New York,159442
Rockland County, New York,325695
St Lawrence County, New York,108047
Saratoga County, New York,230163
Schenectady County, New York,155350
Schoharie County, New York,31097
Schuyler County, New York,17912
Seneca County, New York,34300
Steuben County, New York,95796
Suffolk County, New York,1481093
Sullivan County, New York,75498
Tioga County, New York,48560
Tompkins County, New York,102793
Ulster County, New York,178599
Warren County, New York,64265
Washington County, New York,61197
Wayne County, New York,90064
Westchester County, New York,967612
Wyoming County, New York,40085
Yates County, New York,24841
Alamance County, North Carolina,166436
Alexander County, North Carolina,37353
Alleghany County, North Carolina,11161
Anson County, North Carolina,24877
Ashe County, North Carolina,27109
Avery County, North Carolina,17505
Beaufort County, North Carolina,47079
Bertie County, North Carolina,19026
Bladen County, North Carolina,33190
Brunswick County, North Carolina,136744
Buncombe County, North Carolina,259103
Burke County, North Carolina,90382
Cabarrus County, North Carolina,211342
Caldwell County, North Carolina,82029
Camden County, North Carolina,10710
Carteret County, North Carolina,69524
Caswell County, North Carolina,22698
Catawba County, North Carolina,158652
Chatham County, North Carolina,73139
Cherokee County, North Carolina,28383
Chowan County, North Carolina,14029
Clay County, North Carolina,11139
Cleveland County, North Carolina,97645
Columbus County, North Carolina,55655
Craven County, North Carolina,102912
Cumberland County, North Carolina,332330
Currituck County, North Carolina,27072
Dare County, North Carolina,36501
Davidson County, North Carolina,166614
Davie County, North Carolina,42733
Duplin County, North Carolina,58856
Durham County, North Carolina,316739
Edgecombe County, North Carolina,52005
Forsyth County, North Carolina,379099
Franklin County, North Carolina,67560
Gaston County, North Carolina,222846
Gates County, North Carolina,11573
Graham County, North Carolina,8484
Granville County, North Carolina,60115
Greene County, North Carolina,21012
Guilford County, North Carolina,533670
Halifax County, North Carolina,50574
Harnett County, North Carolina,134214
Haywood County, North Carolina,61971
Henderson County, North Carolina,116748
Hertford County, North Carolina,23659
Hoke County, North Carolina,54764
Hyde County, North Carolina,5230
Iredell County, North Carolina,178435
Jackson County, North Carolina,43327
Johnston County, North Carolina,202675
Jones County, North Carolina,9637
Lee County, North Carolina,61452
Lenoir County, North Carolina,55976
Lincoln County, North Carolina,83770
McDowell County, North Carolina,45507
Macon County, North Carolina,35285
Madison County, North Carolina,21763
Martin County, North Carolina,22671
Mecklenburg County, North Carolina,1093901
